id,property_type,building_name,address,access_1,access_2,access_3,age,building_floors,room_floor,rent,management_fee,deposit,gratuity,layout,area,url,posting_date,actual_cost
288,賃貸マンション,地下鉄桜通線 桜山駅 11階建 築4年,愛知県名古屋市瑞穂区桜見町２,地下鉄桜通線/桜山駅 歩2分,地下鉄桜通線/瑞穂区役所駅 歩9分,地下鉄鶴舞線/御器所駅 歩15分,築4年,11階建,2階,59500.0,7000.0,59500.0,59500.0,1K,24.07,https://suumo.jp/chintai/jnc_000070303350/?bc=100350766536,2024-02-25,68979.16666666667
289,賃貸マンション,地下鉄桜通線 桜山駅 11階建 築4年,愛知県名古屋市瑞穂区桜見町２,地下鉄桜通線/桜山駅 歩2分,地下鉄桜通線/瑞穂区役所駅 歩9分,地下鉄鶴舞線/御器所駅 歩15分,築4年,11階建,6階,61500.0,7000.0,0.0,61500.0,1K,24.07,https://suumo.jp/chintai/jnc_000071444766/?bc=100365408867,2024-02-25,69781.25
290,賃貸アパート,ウエストフロント桜山,愛知県名古屋市瑞穂区洲雲町３,地下鉄桜通線/桜山駅 歩4分,地下鉄桜通線/瑞穂区役所駅 歩13分,地下鉄鶴舞線/御器所駅 歩18分,築22年,3階建,2階,59000.0,5000.0,59000.0,0.0,1DK,34.0,https://suumo.jp/chintai/jnc_000086946216/?bc=100356104160,2024-02-25,65229.16666666666
291,賃貸マンション,フォルテ桜山,愛知県名古屋市瑞穂区洲雲町２,地下鉄桜通線/桜山駅 歩4分,地下鉄桜通線/瑞穂区役所駅 歩13分,地下鉄鶴舞線/荒畑駅 歩18分,築15年,4階建,2階,45000.0,4000.0,0.0,0.0,1K,21.59,https://suumo.jp/chintai/jnc_000088277056/?bc=100347630977,2024-02-25,49000.0
292,賃貸マンション,フォルテ桜山,愛知県名古屋市瑞穂区洲雲町２,地下鉄桜通線/桜山駅 歩4分,地下鉄桜通線/瑞穂区役所駅 歩13分,地下鉄鶴舞線/荒畑駅 歩18分,築15年,4階建,2階,50000.0,4000.0,0.0,0.0,ワンルーム,21.59,https://suumo.jp/chintai/jnc_000085461899/?bc=100347175679,2024-02-25,54000.0
293,賃貸マンション,Blois　アムール(ブロアアムール),愛知県名古屋市瑞穂区洲雲町３,地下鉄桜通線/桜山駅 歩6分,地下鉄桜通線/瑞穂区役所駅 歩15分,地下鉄鶴舞線/御器所駅 歩18分,築19年,6階建,1階,44000.0,6000.0,0.0,0.0,1K,25.5,https://suumo.jp/chintai/jnc_000087948026/?bc=100366033540,2024-02-25,50000.0
294,賃貸マンション,Blois　アムール(ブロアアムール),愛知県名古屋市瑞穂区洲雲町３,地下鉄桜通線/桜山駅 歩6分,地下鉄桜通線/瑞穂区役所駅 歩15分,地下鉄鶴舞線/御器所駅 歩18分,築19年,6階建,5階,44000.0,6000.0,0.0,0.0,1K,25.5,https://suumo.jp/chintai/jnc_000088588431/?bc=100367053175,2024-02-25,50000.0
295,賃貸マンション,Blois　アムール(ブロアアムール),愛知県名古屋市瑞穂区洲雲町３,地下鉄桜通線/桜山駅 歩6分,地下鉄桜通線/瑞穂区役所駅 歩15分,地下鉄鶴舞線/御器所駅 歩18分,築19年,6階建,1階,44000.0,6000.0,0.0,0.0,1K,25.5,https://suumo.jp/chintai/jnc_000088405554/?bc=100366931887,2024-02-25,50000.0
296,賃貸マンション,Blois　アムール(ブロアアムール),愛知県名古屋市瑞穂区洲雲町３,地下鉄桜通線/桜山駅 歩6分,地下鉄桜通線/瑞穂区役所駅 歩15分,地下鉄鶴舞線/御器所駅 歩18分,築19年,6階建,4階,44000.0,6000.0,0.0,0.0,1K,25.5,https://suumo.jp/chintai/jnc_000081868682/?bc=100366903723,2024-02-25,50000.0
297,賃貸マンション,カトレヤ21,愛知県名古屋市瑞穂区瑞穂通１,地下鉄桜通線/桜山駅 歩4分,地下鉄桜通線/瑞穂区役所駅 歩8分,地下鉄鶴舞線/御器所駅 歩19分,築15年,4階建,3階,53000.0,3000.0,53000.0,0.0,ワンルーム,28.26,https://suumo.jp/chintai/jnc_000057937832/?bc=100367269245,2024-02-25,57104.16666666666
298,賃貸マンション,カトレヤ21,愛知県名古屋市瑞穂区瑞穂通１,地下鉄桜通線/桜山駅 歩4分,地下鉄桜通線/瑞穂区役所駅 歩8分,地下鉄鶴舞線/御器所駅 歩19分,築15年,4階建,3階,53000.0,3500.0,53000.0,0.0,ワンルーム,28.26,https://suumo.jp/chintai/jnc_000088235294/?bc=100364997882,2024-02-25,57604.16666666666
299,賃貸マンション,エミネンス石川橋,愛知県名古屋市瑞穂区松月町１,地下鉄桜通線/桜山駅 歩13分,地下鉄鶴舞線/川名駅 歩16分,地下鉄桜通線/瑞穂区役所駅 歩17分,築30年,6階建,4階,70000.0,7000.0,0.0,70000.0,3DK,53.86,https://suumo.jp/chintai/jnc_000084449603/?bc=100338495214,2024-02-25,78458.33333333333
300,賃貸マンション,エミネンス石川橋,愛知県名古屋市瑞穂区松月町１,地下鉄桜通線/桜山駅 歩13分,地下鉄鶴舞線/川名駅 歩16分,地下鉄桜通線/瑞穂区役所駅 歩17分,築30年,6階建,5階,88000.0,7000.0,0.0,0.0,3DK,53.86,https://suumo.jp/chintai/jnc_000087155726/?bc=100333754225,2024-02-25,95000.0
301,賃貸マンション,エミネンス石川橋,愛知県名古屋市瑞穂区松月町１,地下鉄桜通線/桜山駅 歩13分,地下鉄鶴舞線/川名駅 歩16分,地下鉄桜通線/瑞穂区役所駅 歩17分,築30年,6階建,5階,90000.0,7000.0,0.0,0.0,3DK,54.0,https://suumo.jp/chintai/jnc_000085110439/?bc=100350486360,2024-02-25,97000.0
302,賃貸マンション,エミネンス石川橋,愛知県名古屋市瑞穂区松月町１,地下鉄桜通線/桜山駅 歩13分,地下鉄鶴舞線/川名駅 歩16分,地下鉄桜通線/瑞穂区役所駅 歩17分,築30年,6階建,5階,92000.0,7000.0,0.0,0.0,3DK,53.86,https://suumo.jp/chintai/jnc_000083271905/?bc=100334972625,2024-02-25,99000.0
303,賃貸マンション,エミネンス石川橋,愛知県名古屋市瑞穂区松月町１,地下鉄桜通線/桜山駅 歩13分,地下鉄鶴舞線/川名駅 歩16分,地下鉄桜通線/瑞穂区役所駅 歩17分,築30年,6階建,3階,93000.0,7000.0,0.0,0.0,3LDK,65.83,https://suumo.jp/chintai/jnc_000020702852/?bc=100344346075,2024-02-25,100000.0
304,賃貸マンション,メゾン松月,愛知県名古屋市瑞穂区松月町２,地下鉄桜通線/桜山駅 歩9分,地下鉄桜通線/瑞穂区役所駅 歩12分,地下鉄鶴舞線/御器所駅 歩22分,築34年,3階建,1階,110000.0,6000.0,0.0,110000.0,3LDK,74.3,https://suumo.jp/chintai/jnc_000088079362/?bc=100283345597,2024-02-25,118291.66666666669
305,賃貸マンション,メゾン松月,愛知県名古屋市瑞穂区松月町２,地下鉄桜通線/桜山駅 歩9分,地下鉄桜通線/瑞穂区役所駅 歩12分,地下鉄鶴舞線/御器所駅 歩22分,築34年,3階建,2階,112000.0,6000.0,0.0,112000.0,3LDK,74.3,https://suumo.jp/chintai/jnc_000082421790/?bc=100328139068,2024-02-25,120333.33333333331
306,賃貸マンション,ガーデンクルセ櫻見館,愛知県名古屋市瑞穂区桜見町２,地下鉄桜通線/桜山駅 歩3分,地下鉄桜通線/瑞穂区役所駅 歩10分,地下鉄鶴舞線/御器所駅 歩18分,築13年,6階建,4階,106000.0,9000.0,212000.0,106000.0,1LDK,52.41,https://suumo.jp/chintai/jnc_000049986849/?bc=100358642601,2024-02-25,121625.0
307,賃貸マンション,地下鉄桜通線 桜山駅 4階建 築17年,愛知県名古屋市瑞穂区川澄町３,地下鉄桜通線/桜山駅 歩3分,地下鉄桜通線/瑞穂区役所駅 歩7分,地下鉄鶴舞線/御器所駅 歩18分,築17年,4階建,3階,59000.0,4000.0,0.0,0.0,ワンルーム,28.69,https://suumo.jp/chintai/jnc_000088683431/?bc=100367574652,2024-02-25,63000.0
308,賃貸マンション,地下鉄桜通線 桜山駅 4階建 築17年,愛知県名古屋市瑞穂区川澄町３,地下鉄桜通線/桜山駅 歩3分,地下鉄桜通線/瑞穂区役所駅 歩7分,地下鉄鶴舞線/御器所駅 歩18分,築17年,4階建,2階,59000.0,4000.0,0.0,0.0,ワンルーム,28.69,https://suumo.jp/chintai/jnc_000086970613/?bc=100366711974,2024-02-25,63000.0
309,賃貸マンション,地下鉄桜通線 桜山駅 4階建 築17年,愛知県名古屋市瑞穂区川澄町３,地下鉄桜通線/桜山駅 歩3分,地下鉄桜通線/瑞穂区役所駅 歩7分,地下鉄鶴舞線/御器所駅 歩18分,築17年,4階建,4階,61000.0,4000.0,0.0,0.0,ワンルーム,28.69,https://suumo.jp/chintai/jnc_000086978272/?bc=100354135479,2024-02-25,65000.0
